date,avg_price,인스타_좋아요수,인스타_댓글수,블로그_긍정수,블로그_전체수,블로그_부정수,뉴스_긍정수,뉴스_전체수,뉴스_부정수,검색트렌드,기온,강수량,습도,풍속,구름량,날씨_코드,월,요일,계절,유튜브_조회수,유튜브_좋아요수,유튜브_댓글수,유튜브_긍정수,유튜브_중립수,유튜브_부정수
2023-10-27,160000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1729729658193329,0.6305666975213413,0.0067024128686326,0.7795275590551183,0.1353299167200512,0.4525,0,10,4,4,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-28,160000.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.1639639137050571,0.6033117350611952,0.0,0.7147183525136283,0.0060858424087123,0.0154166666666666,0,10,5,4,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-29,160000.0,0.0,0.0,0.3636363636363637,1.090909090909091,0.7272727272727274,0.0,0.0,0.0,0.1459459112783058,0.601769001337036,0.0,0.7213809812235012,0.1226777706598334,0.1166666666666666,0,10,6,4,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-30,160000.0,43.0,6.0,0.27272727272727276,0.8181818181818183,0.5454545454545455,0.0,0.0,0.0,0.2288287631620819,0.5894271315437623,0.0,0.8279830405814661,0.1122677770659833,0.2141666666666666,0,10,0,4,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-31,160000.0,26.63636363636364,6.181818181818182,0.18181818181818185,2.5454545454545454,2.3636363636363638,0.0,0.0,0.0,0.1639639137050571,0.6063972025095136,0.0,0.8861296184130831,0.1683215887251761,0.5754166666666666,3,10,1,4,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-01,160000.0,15.72727272727273,3.0909090909090917,1.0909090909090908,2.0,0.9090909090909093,0.0,0.0,0.0,0.1729729658193329,0.7240563612053894,0.0871313672922251,0.9097516656571778,0.4638052530429211,0.5816666666666666,0,11,2,4,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-02,160000.0,10.81818181818182,2.181818181818182,1.4090909090909092,2.045454545454546,0.6363636363636365,0.0,0.0,0.0,0.1171170666747836,0.7433919572148515,0.0,0.8195033313143552,0.344170403587444,0.0879166666666666,0,11,3,4,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-03,160000.0,5.90909090909091,1.272727272727273,0.6636363636363637,1.081818181818182,0.41818181818181827,0.0,0.0,0.0,0.1117116964872983,0.7181939730535845,0.1595174262734584,0.9642640823743188,0.3750800768737988,0.91375,3,11,4,4,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-04,160000.0,2.954545454545455,0.6363636363636365,1.4727272727272727,1.690909090909091,0.21818181818181823,0.0,0.0,0.0,0.2216216029121015,0.7080119304741337,0.0268096514745308,0.8134463961235616,0.217008327994875,0.6283333333333334,1,11,5,4,73262.0,1333.0,113.0,71.0,0.0,38.0
2023-11-05,160000.0,1.6727272727272728,0.34545454545454546,0.6363636363636365,1.7272727272727275,1.0909090909090908,0.0,0.0,0.0,0.4018017289814149,0.6926874421474855,0.4155495978552278,0.9006662628709876,0.4730941704035875,0.7916666666666667,51,11,6,4,26815.72727272728,491.7272727272728,41.0909090909091,25.818181818181824,0.0,13.81818181818182
2023-11-06,160000.0,86.08181818181818,11.218181818181819,0.40909090909090917,0.8272727272727274,0.41818181818181827,0.0,0.0,0.0,0.2666666598798799,0.6457883369330455,0.4678284182305628,0.7498485766202303,1.0,0.7316666666666667,51,11,0,4,27492.18181818182,469.0909090909092,39.81818181818183,24.363636363636367,0.0,14.363636363636365
2023-11-07,160000.0,31.109090909090913,4.072727272727273,1.2545454545454546,3.5636363636363635,2.309090909090909,0.0,0.0,0.0,0.2234233929745966,0.4135554869896123,0.0013404825737265,0.5354330708661419,0.4895900064061499,0.2275,0,11,1,4,16076.45454545455,281.72727272727275,23.818181818181824,14.72727272727273,0.0,8.363636363636365
2023-11-08,160000.0,23.181818181818183,3.0000000000000004,0.5000000000000001,2.409090909090909,1.9090909090909092,0.0,0.0,0.0,0.2126125507978258,0.4569577290959581,0.0,0.5208964264082376,0.1037796284433055,0.1366666666666666,0,11,2,4,8723.27272727273,150.54545454545456,12.72727272727273,7.81818181818182,0.0,4.545454545454546
2023-11-09,160000.0,15.454545454545457,2.0000000000000004,0.3363636363636364,1.3363636363636364,1.0,0.0,0.0,0.0,0.1981981284960647,0.55888100380541,0.0482573726541554,0.810417928528165,0.3340807174887891,0.5483333333333333,0,11,3,4,4700.18181818182,79.95454545454547,6.772727272727274,4.136363636363638,0.0,2.454545454545455
2023-11-10,160000.0,7.727272727272728,1.0000000000000002,0.20909090909090913,0.890909090909091,0.6818181818181819,0.0,0.0,0.0,0.1639639137050571,0.3586341664095444,0.0,0.3646274984857663,0.5129724535554132,0.0741666666666666,0,11,4,4,2683.1000000000004,46.036363636363646,3.9000000000000004,2.390909090909091,0.0,1.4000000000000001
2023-11-11,160000.0,61.86363636363637,0.5000000000000001,1.1090909090909091,2.5,1.390909090909091,0.0,0.0,0.0,0.1801801260693133,0.30093592512599,0.0,0.3700787401574804,0.1852978859705317,0.30625,0,11,5,4,1675.3545454545456,29.10909090909091,2.463636363636364,1.5181818181818183,0.0,0.8727272727272729
2023-11-12,160000.0,23.409090909090914,0.30000000000000004,0.40909090909090917,0.9727272727272729,0.5636363636363637,0.0,0.0,0.0,0.2414413954013479,0.2837601563303508,0.0,0.5639006662628712,0.2266175528507367,0.0054166666666666,0,11,6,4,10193.309090909092,94.93636363636364,6.245454545454545,3.1363636363636362,0.0,3.109090909090909
